name,brand,sizes,skus,originalPrice,promotionalPrice,discountPercentage,discountAmount
3 PACK - Leggings - Trousers - black/beige/ grey,Anna Field MAMA,"XS, S, M, L","EX429B01L-Q1100XS000, EX429B01L-Q11000S000, EX429B01L-Q11000M000, EX429B01L-Q11000L000",25.99,25.99,0.0,0.0
Cape - brown/black,Anna Field,One Size,AN651G0AT-O110ONE000,22.99,16.0,30.0,6.989999999999998
ONLBLUSH MID RAW - Denim shorts - dark blue denim,ONLY,"XXS, XS, S, M, L, XL","ON321S0BR-K120XXS000, ON321S0BR-K1200XS000, ON321S0BR-K12000S000, ON321S0BR-K12000M000, ON321S0BR-K12000L000, ON321S0BR-K1200XL000",30.99,28.0,10.0,2.9899999999999984
SAMMY  - Button-down blouse - white,Filippa K,"4, 12, 14","F1421E05N-A110032000, F1421E05N-A110040000, F1421E05N-A110042000",165.0,165.0,0.0,0.0
Bomber Jacket - burgundy,Urban Classics,"XS, S, M","UR621G00C-G1100XS000, UR621G00C-G11000S000, UR621G00C-G11000M000",40.0,40.0,0.0,0.0
EXCLUSIVE SHINY LACQUER MICRO SKIRT - Mini skirt - black,Calvin Klein Jeans,"XXS, XS, S, M, L, XL","C1821B07Y-Q110XXS000, C1821B07Y-Q1100XS000, C1821B07Y-Q11000S000, C1821B07Y-Q11000M000, C1821B07Y-Q11000L000, C1821B07Y-Q1100XL000",109.99,82.0,25.0,27.989999999999995
Shift dress - black,Even&Odd,"6, 8, 10, 12, 14, 16, 18","EV421C0ZZ-Q110034000, EV421C0ZZ-Q110036000, EV421C0ZZ-Q110038000, EV421C0ZZ-Q110040000, EV421C0ZZ-Q110042000, EV421C0ZZ-Q110044000, EV421C0ZZ-Q110046000",32.99,16.0,52.0,16.990000000000002
ONLKITA FRUIT  - Print T-shirt - light grey melange,ONLY,"XS, S, M, L, XL, XXL, 3XL","ON321D3TI-C1100XS000, ON321D3TI-C11000S000, ON321D3TI-C11000M000, ON321D3TI-C11000L000, ON321D3TI-C1100XL000, ON321D3TI-C110XXL000, ON321D3TI-C1103XL000",17.99,17.99,0.0,0.0
Shift dress - black,Anna Field,"6, 8, 10, 12, 14, 16","AN621C1JH-Q110034000, AN621C1JH-Q110036000, AN621C1JH-Q110038000, AN621C1JH-Q110040000, AN621C1JH-Q110042000, AN621C1JH-Q110044000",25.99,13.0,50.0,12.989999999999998
Basic T-shirt - balsam green,ONLY,"XS, S, M, L, XL, XXL","ON321D0LE-M1200XS000, ON321D0LE-M12000S000, ON321D0LE-M12000M000, ON321D0LE-M12000L000, ON321D0LE-M1200XL000, ON321D0LE-M120XXL000",14.99,14.99,0.0,0.0
Pleated skirt - multi-coloured,Anna Field,"XS, S, M, L, XL","AN621B0C2-T1100XS000, AN621B0C2-T11000S000, AN621B0C2-T11000M000, AN621B0C2-T11000L000, AN621B0C2-T1100XL000",33.99,33.99,0.0,0.0
Top - black,Anna Field Petite,"XS, S, M, L","ANI21D03T-Q1100XS000, ANI21D03T-Q11000S000, ANI21D03T-Q11000M000, ANI21D03T-Q11000L000",14.99,14.99,0.0,0.0
SET - Bikini - anthracite,Roxy,"XS, S, M, L, XL, XXL","RO581L02X-Q1100XS000, RO581L02X-Q11000S000, RO581L02X-Q11000M000, RO581L02X-Q11000L000, RO581L02X-Q1100XL000, RO581L02X-Q110XXL000",44.99,36.0,0.0,8.990000000000002
Jeans Skinny Fit - black,Anna Field MAMA,"6, 8, 10, 12, 14, 18","EX429A003-Q120034000, EX429A003-Q120036000, EX429A003-Q120038000, EX429A003-Q120040000, EX429A003-Q120042000, EX429A003-Q120046000",33.99,33.99,0.0,0.0
VINTAGE  - Flared Jeans - black washed,Urban Classics,"26, 27, 28, 29, 30, 31, 32, 33, 34","UR621N00L-Q110026000, UR621N00L-Q110027000, UR621N00L-Q110028000, UR621N00L-Q110029000, UR621N00L-Q110030000, UR621N00L-Q110031000, UR621N00L-Q110032000, UR621N00L-Q110033000, UR621N00L-Q110034000",55.0,55.0,0.0,0.0
ERICA KORA SKIRT - Mini skirt - black,AllSaints,"4, 6, 8, 12","A0Q21B05L-Q110004000, A0Q21B05L-Q110006000, A0Q21B05L-Q110008000, A0Q21B05L-Q110012000",99.99,99.99,0.0,0.0
VMSMILLA SHORT SKIRT - A-line skirt - black/snow white,Vero Moda,"XS, S, M, L, XL, XXL","VE121B12C-Q1100XS000, VE121B12C-Q11000S000, VE121B12C-Q11000M000, VE121B12C-Q11000L000, VE121B12C-Q1100XL000, VE121B12C-Q110XXL000",23.99,23.99,0.0,0.0
LAUNCH SINGLET - Top - nova orange,Under Armour,"XS, S, M, L, XL","UN241D0QE-H1100XS000, UN241D0QE-H11000S000, UN241D0QE-H11000M000, UN241D0QE-H11000L000, UN241D0QE-H1100XL000",32.0,25.97,19.0,6.030000000000001
Shift dress - bordeaux,Anna Field,"XS, S, M, L, XL","AN621C22G-G1100XS000, AN621C22G-G11000S000, AN621C22G-G11000M000, AN621C22G-G11000L000, AN621C22G-G1100XL000",32.99,30.0,9.0,2.990000000000002
FLEX - Sports shorts - tetra gray,Under Armour,"XS, S, M, L, XL","UN241E0NT-C1100XS000, UN241E0NT-C11000S000, UN241E0NT-C11000M000, UN241E0NT-C11000L000, UN241E0NT-C1100XL000",36.0,36.0,0.0,0.0
LAVENDER HAZE - Jumpsuit - kvj,Roxy,"XS, S, M, L, XL","RO521T01M-Q1100XS000, RO521T01M-Q11000S000, RO521T01M-Q11000M000, RO521T01M-Q11000L000, RO521T01M-Q1100XL000",60.0,42.0,30.0,18.0
Pencil skirt - dark blue,Anna Field,"XS, S, M, L","AN621B0BW-K1100XS000, AN621B0BW-K11000S000, AN621B0BW-K11000M000, AN621B0BW-K11000L000",25.99,23.0,12.0,2.9899999999999984
VMAVA PLAIN - Basic T-shirt - laurel wreath,Vero Moda,"XS, S, M, L, XL, XXL","VE121D21X-M1200XS000, VE121D21X-M12000S000, VE121D21X-M12000M000, VE121D21X-M12000L000, VE121D21X-M1200XL000, VE121D21X-M120XXL000",15.99,15.99,0.0,0.0
Cocktail dress / Party dress - black/silver,Even&Odd,"XS, S, L, XL","EV421C1FW-Q1100XS000, EV421C1FW-Q11000S000, EV421C1FW-Q11000L000, EV421C1FW-Q1100XL000",29.99,29.99,0.0,0.0
Denim dress - light blue denim,Vero Moda,"XS, S, L, XXL","VE121C1AK-K1100XS000, VE121C1AK-K11000S000, VE121C1AK-K11000L000, VE121C1AK-K110XXL000",47.99,43.0,10.0,4.990000000000002
CROSSOVER - A-line skirt - blue denim,Massimo Dutti,"8, 10, 12, 14, 16","M3I21B0FT-K110036000, M3I21B0FT-K110038000, M3I21B0FT-K110040000, M3I21B0FT-K110042000, M3I21B0FT-K110044000",69.95,69.95,0.0,0.0
Top - white,Anna Field,"L, XL, XXL, 3XL","AN621E0DO-A11000L000, AN621E0DO-A1100XL000, AN621E0DO-A1102XL000, AN621E0DO-A1103XL000",25.99,25.99,0.0,0.0
VENEDIG AOP LIFE WVN NOOS - A-line skirt - black,ONLY,"XS, S, M, L, XL","ON321B0YO-Q1100XS000, ON321B0YO-Q11000S000, ON321B0YO-Q11000M000, ON321B0YO-Q11000L000, ON321B0YO-Q1100XL000",25.99,25.99,0.0,0.0
SD HIPSTER BOT - Bikini bottoms - green,Roxy,"XS, S, M, L, XL, XXL","RO581I07D-M1100XS000, RO581I07D-M11000S000, RO581I07D-M11000M000, RO581I07D-M11000L000, RO581I07D-M1100XL000, RO581I07D-M110XXL000",27.0,27.0,0.0,0.0
ONLNEW SMILLA PUFF - Print T-shirt - subtle green,ONLY,"XXS, XS, S, M, L, XXL, 3XL","ON321D3LU-M110XXS000, ON321D3LU-M1100XS000, ON321D3LU-M11000S000, ON321D3LU-M11000M000, ON321D3LU-M11000L000, ON321D3LU-M110XXL000, ON321D3LU-M1103XL000",17.99,17.99,0.0,0.0
FELTED BLEND WITH POCKETS - Summer jacket - grey,Massimo Dutti,"S, M, L","M3I21U0SP-C11000S000, M3I21U0SP-C11000M000, M3I21U0SP-C11000L000",99.95,99.95,0.0,0.0
Trousers - black,Even&Odd Petite,"4, 6, 8, 10, 12, 14","EVF21A026-Q110032000, EVF21A026-Q110034000, EVF21A026-Q110036000, EVF21A026-Q110038000, EVF21A026-Q110040000, EVF21A026-Q110042000",27.99,27.99,0.0,0.0
Cape - white,Anna Field,One Size,AN651G0B6-A110ONE000,24.99,12.0,52.0,12.989999999999998
Print T-shirt - beige,Anna Field,"XS, S, M, L","AN621D1ED-B1100XS000, AN621D1ED-B11000S000, AN621D1ED-B11000M000, AN621D1ED-B11000L000",19.99,18.0,10.0,1.9899999999999984
COOL AGAIN-MINI - Day dress - purple,Roxy,"S, M, L, XL, XXL","RO521C08Z-I11000S000, RO521C08Z-I11000M000, RO521C08Z-I11000L000, RO521C08Z-I1100XL000, RO521C08Z-I110XXL000",60.0,42.0,30.0,18.0
Pencil skirt - dark brown,Zign Studio,"XS, S, M, L, XL","ZI421B004-O1100XS000, ZI421B004-O11000S000, ZI421B004-O11000M000, ZI421B004-O11000L000, ZI421B004-O1100XL000",54.99,54.99,0.0,0.0
ONLELLY 3/4 LIFE - Short coat - evening blue,ONLY,"4, 6, 8, 10, 16, 18","ON321G0YA-K110032000, ON321G0YA-K110034000, ON321G0YA-K110036000, ON321G0YA-K110038000, ON321G0YA-K110044000, ON321G0YA-K110046000",39.99,39.99,0.0,0.0
WITH FLOWER DETAIL - Top - black,Massimo Dutti,"XS, S, M","M3I21E1KP-Q1100XS000, M3I21E1KP-Q11000S000, M3I21E1KP-Q11000M000",69.95,69.95,0.0,0.0
SLEEVELESS  - Day dress - navy funetotsuru,Superdry,"8, 10, 12","SU221C0XY-K110008000, SU221C0XY-K110010000, SU221C0XY-K110012000",59.99,47.99,20.0,12.0
3 PACK - Basic T-shirt - dark red/white/black,Anna Field,"XS, S, M, L","AN621D140-G1100XS000, AN621D140-G11000S000, AN621D140-G11000M000, AN621D140-G11000L000",27.99,25.0,11.0,2.9899999999999984
WIND SWEPT  LEICHTE WATTIERTE - Winter jacket - mottled black,Roxy,"XS, S, M, L, XL, XXL","RO521U03A-Q1100XS000, RO521U03A-Q11000S000, RO521U03A-Q11000M000, RO521U03A-Q11000L000, RO521U03A-Q1100XL000, RO521U03A-Q110XXL000",90.0,45.0,50.0,45.0
SEDONA - Summer jacket - mocha mousse melange,ONLY,"XS, S, M, L, XL","ON321U0C9-O1200XS000, ON321U0C9-O12000S000, ON321U0C9-O12000M000, ON321U0C9-O12000L000, ON321U0C9-O1200XL000",34.99,31.0,11.0,3.990000000000002
ANKLE ATHLETIC - Tracksuit bottoms - nevis,Polo Ralph Lauren,"S, M, L","PO221A07J-A11000S000, PO221A07J-A11000M000, PO221A07J-A11000L000",150.0,120.0,20.0,30.0
Tracksuit bottoms - pink glaze,Jordan,"XS, M, L, XL, 2XL","JOC21S00W-J1100XS000, JOC21S00W-J11000M000, JOC21S00W-J11000L000, JOC21S00W-J1100XL000, JOC21S00W-J1102XL000",44.99,40.0,11.0,4.990000000000002
Trousers - patterned thirty,BOSS,"6, 8, 10","BB121A0J7-T110034000, BB121A0J7-T110036000, BB121A0J7-T110038000",229.0,139.0,39.0,90.0
Long sleeved top - bordeaux,Anna Field,"XS, S, M, L, XL","AN621D1D2-G1100XS000, AN621D1D2-G11000S000, AN621D1D2-G11000M000, AN621D1D2-G11000L000, AN621D1D2-G1100XL000",20.99,19.0,9.0,1.9899999999999984
Trousers - black,Urban Classics,"S, M, 3XL, 4XL, 5XL","UR621A066-Q11000S000, UR621A066-Q11000M000, UR621A066-Q1103XL000, UR621A066-Q1104XL000, UR621A066-Q1105XL000",50.0,50.0,0.0,0.0
CLASSIC - Trenchcoat - sand,Esprit,"S, L, XL","ES121U0KS-B11000S000, ES121U0KS-B11000L000, ES121U0KS-B1100XL000",129.99,84.0,35.0,45.99000000000001
Trousers - black,Anna Field Curvy,"18, 20, 22, 24, 26","AX821A01B-Q110046000, AX821A01B-Q110048000, AX821A01B-Q110050000, AX821A01B-Q110052000, AX821A01B-Q110054000",25.99,23.0,12.0,2.9899999999999984
VMNORMA JACKET - Summer jacket - black,Vero Moda,"XS, S, M, L, XL, XXL, 3XL","VE121G1EF-Q1100XS000, VE121G1EF-Q11000S000, VE121G1EF-Q11000M000, VE121G1EF-Q11000L000, VE121G1EF-Q1100XL000, VE121G1EF-Q110XXL000, VE121G1EF-Q1103XL000",64.99,64.99,0.0,0.0
GEDARI - Denim jacket - open miscellaneous,HUGO,"S, M, L","HU721G0BE-K11000S000, HU721G0BE-K11000M000, HU721G0BE-K11000L000",199.0,199.0,0.0,0.0
Print T-shirt - black,Anna Field Curvy,"22, 24, 26","AX821D04Y-Q110050000, AX821D04Y-Q110052000, AX821D04Y-Q110054000",12.99,12.99,0.0,0.0
SD HIPSTER BOT - Bikini bottoms - anthracite,Roxy,"XS, S, M, L, XL, XXL","RO581I07D-Q1100XS000, RO581I07D-Q11000S000, RO581I07D-Q11000M000, RO581I07D-Q11000L000, RO581I07D-Q1100XL000, RO581I07D-Q110XXL000",26.99,26.99,0.0,0.0
2 PACK - Top - black,Anna Field,"18, 20, 22, 24, 26, XS, S, M, L, XL","AN621D10Q-Q110046000, AN621D10Q-Q110048000, AN621D10Q-Q110050000, AN621D10Q-Q110052000, AN621D10Q-Q110054000, AN621D10Q-Q1100XS000, AN621D10Q-Q11000S000, AN621D10Q-Q11000M000, AN621D10Q-Q11000L000, AN621D10Q-Q1100XL000",16.99,16.99,0.0,0.0
2 PACK - Basic T-shirt - black/white,Anna Field,"XS, S, M, L, XL, XXL, 3XL","AN621D1C8-Q1100XS000, AN621D1C8-Q11000S000, AN621D1C8-Q11000M000, AN621D1C8-Q11000L000, AN621D1C8-Q1100XL000, AN621D1C8-Q1102XL000, AN621D1C8-Q1103XL000",19.99,10.0,50.0,9.989999999999998
VMMAYA MR SOLID  NOOS - Trousers - birch,Vero Moda,"XSx34, Sx32, Sx34, Mx30, Mx34, Lx32, Lx34, XLx30, XLx34, XXLx30, XXLx34, 3XLx34","VE121A0TL-T1100XS034, VE121A0TL-T11000S032, VE121A0TL-T11000S034, VE121A0TL-T11000M030, VE121A0TL-T11000M034, VE121A0TL-T11000L032, VE121A0TL-T11000L034, VE121A0TL-T1100XL030, VE121A0TL-T1100XL034, VE121A0TL-T110XXL030, VE121A0TL-T110XXL034, VE121A0TL-T1103XL034",30.99,28.0,10.0,2.9899999999999984
Top - mottled dark green,Massimo Dutti,"XS, S, M, L, XL","M3I21D0O1-M1100XS000, M3I21D0O1-M11000S000, M3I21D0O1-M11000M000, M3I21D0O1-M11000L000, M3I21D0O1-M1100XL000",29.95,29.95,0.0,0.0
SWEET DAY - Shirt dress - black sands,Billabong,"XS, S, M, L","BI721C09R-Q1100XS000, BI721C09R-Q11000S000, BI721C09R-Q11000M000, BI721C09R-Q11000L000",69.99,52.0,26.0,17.989999999999995
A-line skirt - black/white/light pink,Anna Field,"XS, S, M, XL","AN621B0BN-Q1100XS000, AN621B0BN-Q11000S000, AN621B0BN-Q11000M000, AN621B0BN-Q1100XL000",33.99,31.0,9.0,2.990000000000002
WITH EMBROIDERED DETAIL - Cape - khaki,Massimo Dutti,M/L,M3I21U0VJ-N1100ML000,249.0,249.0,0.0,0.0
MORNING HIKE  - Sweatshirt - offwhite,Roxy,L,RO521J0G3-A11000L000,55.0,27.5,50.0,27.5
BAGGY DAD JORT - Denim shorts - foolish love,Levi's®,"24, 25, 26, 28, 29","LE221S03Y-K120024000, LE221S03Y-K120025000, LE221S03Y-K120026000, LE221S03Y-K120028000, LE221S03Y-K120029000",64.99,64.99,0.0,0.0
Zip-up sweatshirt - black white,Jordan,"XS, L, XL","JOC21J01H-Q1100XS000, JOC21J01H-Q11000L000, JOC21J01H-Q1100XL000",74.99,56.0,25.0,18.989999999999995
LADIES CAMO LEGGINGS - Leggings - Trousers - wood,Urban Classics,"XS, S, M, L, XL","UR621A00J-O1100XS000, UR621A00J-O11000S000, UR621A00J-O11000M000, UR621A00J-O11000L000, UR621A00J-O1100XL000",35.0,35.0,0.0,0.0
WOMAN SEAMLESS - Leggings - Stockings - black/magenta,Calvin Klein Underwear,"S, M, L, XL","C1181F055-Q12000S000, C1181F055-Q12000M000, C1181F055-Q12000L000, C1181F055-Q1200XL000",26.99,26.99,0.0,0.0
SLFDIANNA  - Top - bright white,Selected Femme,"8, 10, 12, 14, 16, 18, 20","SE521D0KY-A1100XS000, SE521D0KY-A11000S000, SE521D0KY-A11000M000, SE521D0KY-A11000L000, SE521D0KY-A1100XL000, SE521D0KY-A110XXL000, SE521D0KY-A1103XL000",25.99,23.0,12.0,2.9899999999999984
Long sleeved top - grey,Even&Odd,"XS, S, M, L","EV421D19U-C1100XS000, EV421D19U-C11000S000, EV421D19U-C11000M000, EV421D19U-C11000L000",14.99,7.0,53.0,7.99
ONLWAUW LIFE MID - Jeans Skinny Fit - medium blue denim,ONLY,"8x30, 8x32, 8x34, 10x30, 10x32, 10x34, 12x30, 12x32, 12x34, 14x30, 14x32, 14x34, 16x30, 16x32, 16x34","ON321N1DK-K1100XS030, ON321N1DK-K1100XS032, ON321N1DK-K1100XS034, ON321N1DK-K11000S030, ON321N1DK-K11000S032, ON321N1DK-K11000S034, ON321N1DK-K11000M030, ON321N1DK-K11000M032, ON321N1DK-K11000M034, ON321N1DK-K11000L030, ON321N1DK-K11000L032, ON321N1DK-K11000L034, ON321N1DK-K1100XL030, ON321N1DK-K1100XL032, ON321N1DK-K1100XL034",25.99,25.99,0.0,0.0
ONLNELLA HIGHNECK - Long sleeved top - rosin,ONLY,"XXS, XS, S, M, L, XL, XXL, 3XL","ON321D3PN-M110XXS000, ON321D3PN-M1100XS000, ON321D3PN-M11000S000, ON321D3PN-M11000M000, ON321D3PN-M11000L000, ON321D3PN-M1100XL000, ON321D3PN-M110XXL000, ON321D3PN-M1103XL000",24.99,24.99,0.0,0.0
